Microcontrollers & microprocessors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part Number,General Description,Marketing Status,Package,Core,Operating Frequency (MHz),FPU,Co-Processor type,Co-Processor frequency (MHz) max,Flash Size (kB) (Prog),Dual-bank Flash,Data E2PROM (B) nom,RAM Size (kB),CCM RAM (I/D) (kByte) typ,ITCM/DTCM RAM (kB),Timers (16-bit) typ,Timers (32-bit) typ,Other timer functions,A/D Converters 12-bit,,A/D Converters 14-bit,,A/D Converters 16-bit,,D/A Converters (12-bit) typ,Comparator,Integrated op-amps,I/Os (High Current),SMPS,Display controller,Graphic accelerator,CAN (FD),CAN (2.0),I2C typ,SPI typ,I2S typ,USART typ,UART typ,Ethernet,Ethernet ports typ,I3C typ,Additional Interfaces,External Memory Interfaces,USB Type,Cryptography,Security Functions,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (@ Lowest Power) typ,Supply Current (µA) (Run Mode (per MHz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max,Output Power (dBm) min,Output Power (dBm) max,RX current (mA) typ,RX sensitivity (dBm) typ,Standby Current (µA) typ,TX current (mA) (@ 0dBm) max,Output Power (dBm) (Step) typ,Buy On Line,Number of Cores nom,,,,,,
STM32C031G4,"Mainstream Arm Cortex-M0+ MCU with 16 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,UFQFPN 28 4x4x0.6 mm,Arm Cortex-M0+,48,-,-,-,-,16,No,-,12,-,-,5,-,"IWDG, SysTick, WWDG",1,17,-,-,-,-,-,-,-,26,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C031G6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,UFQFPN 28 4x4x0.6 mm,Arm Cortex-M0+,48,-,-,-,-,32,No,-,12,-,-,5,-,"IWDG, SysTick, WWDG",1,17,-,-,-,-,-,-,-,26,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C031K4,"Mainstream Arm Cortex-M0+ MCU with 16 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,16,No,-,12,-,-,5,-,"IWDG, SysTick, WWDG",1,18,-,-,-,-,-,-,-,30,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C031K6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,32,No,-,12,-,-,5,-,"IWDG, SysTick, WWDG",1,18,-,-,-,-,-,-,-,30,-,-,-,-,-,-,1,1,1,2,-,-,-,-,-,-,No,-,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C051C6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,32,No,-,12,-,-,5,1,"IWDG, SysTick, WWDG",1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C051C8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,64,No,-,12,-,-,5,1,"IWDG, SysTick, WWDG",1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C051F6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,TSSOP-20,Arm Cortex-M0+,48,-,-,-,-,32,No,-,12,-,-,5,1,"IWDG, SysTick, WWDG",1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C051F8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,TSSOP-20,Arm Cortex-M0+,48,-,-,-,-,64,No,-,12,-,-,-,-,"IWDG, SysTick, WWDG",1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C051G6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,UFQFPN 28 4x4x0.6 mm,Arm Cortex-M0+,48,-,-,-,-,32,No,-,12,-,-,5,1,"IWDG, SysTick, WWDG",1,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C051G8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,UFQFPN 28 4x4x0.6 mm,Arm Cortex-M0+,48,-,-,-,-,64,No,-,12,-,-,5,1,"IWDG, SysTick, WWDG",1,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C051K6,"Mainstream Arm Cortex-M0+ MCU with 32 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,32,No,-,12,-,-,5,1,"IWDG, SysTick, WWDG",1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C051K8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 12 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,64,No,-,12,-,-,5,1,"IWDG, SysTick, WWDG",1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071C8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,64,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,17,-,-,-,-,-,-,-,"43, 45",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071CB,"Mainstream Arm Cortex-M0+ MCU with 128 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,128,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,17,-,-,-,-,-,-,-,"43, 45",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071F8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,TSSOP-20,Arm Cortex-M0+,48,-,-,-,-,64,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,11,-,-,-,-,-,-,-,18,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32C071FB,"Mainstream Arm Cortex-M0+ MCU with 128 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"TSSOP-20, WLCSP 19 2.5x1.6 P 0.35 mm",Arm Cortex-M0+,48,-,-,-,-,128,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,11,-,-,-,-,-,-,-,"17, 18",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071G8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,UFQFPN 28 4x4x0.6 mm,Arm Cortex-M0+,48,-,-,-,-,64,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,13,-,-,-,-,-,-,-,"25, 26",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071GB,"Mainstream Arm Cortex-M0+ MCU with 128 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,UFQFPN 28 4x4x0.6 mm,Arm Cortex-M0+,48,-,-,-,-,128,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,13,-,-,-,-,-,-,-,"25, 26",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071K8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,64,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,14,-,-,-,-,-,-,-,"29, 30",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071KB,"Mainstream Arm Cortex-M0+ MCU with 128 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,128,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,14,-,-,-,-,-,-,-,"29, 30",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071R8,"Mainstream Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 64 10x10x1.4 mm, UFBGA 64 5x5x0.6 P 0.5 mm",Arm Cortex-M0+,48,-,-,-,-,64,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,19,-,-,-,-,-,-,-,"59, 61",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C071RB,"Mainstream Arm Cortex-M0+ MCU with 128 Kbytes of Flash memory, 24 Kbytes RAM, 48 MHz CPU, 2x USART, timers, ADC, comm. I/F, USB FS, 2-3.6V",Active,"LQFP 64 10x10x1.4 mm, UFBGA 64 5x5x0.6 P 0.5 mm",Arm Cortex-M0+,48,-,-,-,-,128,No,-,24,-,-,5,1,"IWDG, SysTick, WWDG",1,19,-,-,-,-,-,-,-,"59, 61",-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,No,USB FS,-,"Silicon Device Lifecycle, Software IP Protection",2,3.6,-,-,-40,105,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C091CB,"Mainstream Arm Cortex-M0+ MCU with 128 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,128,No,-,36,-,-,-,-,"IWDG, SysTick, WWDG",1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C091CC,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,256,No,-,36,-,-,6,1,"IWDG, SysTick, WWDG",1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,4,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C091FB,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,TSSOP-20,Arm Cortex-M0+,48,-,-,-,-,128,No,-,36,-,-,6,1,"IWDG, SysTick, WWDG",1,15,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,1,4,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32C091FC,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,TSSOP-20,Arm Cortex-M0+,48,-,-,-,-,256,No,-,36,-,-,6,1,"IWDG, SysTick, WWDG",1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,4,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C091GB,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,UFQFPN 28 4x4x0.6 mm,Arm Cortex-M0+,48,-,-,-,-,128,No,-,36,-,-,6,1,"IWDG, SysTick, WWDG",1,17,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,1,4,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,No,-,-,-,-
STM32C091GC,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,UFQFPN 28 4x4x0.6 mm,Arm Cortex-M0+,48,-,-,-,-,256,No,-,36,-,-,6,1,"IWDG, SysTick, WWDG",1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,4,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C091KB,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,128,No,-,36,-,-,-,-,"IWDG, SysTick, WWDG",1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C091KC,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,256,No,-,36,-,-,6,1,"IWDG, SysTick, WWDG",1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,4,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,125,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C091RB,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 64 10x10x1.4 mm, UFBGA 64 5x5x0.6 P 0.5 mm",Arm Cortex-M0+,48,-,-,-,-,128,No,-,36,-,-,-,-,"IWDG, SysTick, WWDG",1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C091RC,"Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 64 10x10x1.4 mm, UFBGA 64 5x5x0.6 P 0.5 mm",Arm Cortex-M0+,48,-,-,-,-,256,No,-,36,-,-,6,"1, 6","IWDG, SysTick, WWDG",1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,4,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
STM32C092CB,"Mainstream Arm Cortex-M0+ MCU with 128 Kbytes of Flash memory, 30 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,48,-,-,-,-,128,No,-,30,-,-,6,1,"IWDG, SysTick, WWDG",1,21,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,1,4,-,-,-,-,-,-,No,-,-,-,2,3.6,-,-,-40,85,-,-,-,-,-,-,-,Yes,-,-,-,-
